text,source,annotator_1_label_x,annotator_2_label_x,annotator_3_label_x,annotator_4_label_x,annotator_5_label_x,annotator_1_label_y,annotator_2_label_y,annotator_3_label_y,annotator_4_label_y,annotator_5_label_y,annotator_1_label,annotator_2_label,annotator_3_label,annotator_4_label,annotator_5_label,OAG,NAG,CAG
and we shud also destroy taj mahal... qutub minar ....laal qila aftr that visiters seen only GBRoad vd hvng a fun vd ur neighbours,Trac1,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,1.0
Project pay is just a soft ass little bitch.,DavidsonOFF,1.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,
@tiffantasticc your dad is genuine happy guy because his kids aren't niggers though &#128532; jimmy is my nigga 5eva,DavidsonHS,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,
"Now India will start striking back through Twitter haha. Bring Antony back to the position if you people are incapable, he was not an extremist by nature but surely a man of action not words like you people. 56 inch, 1 surgical strike like the end of pakistan haha only good for publicity.",Trac1,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,1.0,
"Now India will start striking back through Twitter haha. Bring Antony back to the position if you people are incapable, he was not an extremist by nature but surely a man of action not words like you people. 56 inch, 1 surgical strike like the end of pakistan haha only good for publicity.",Trac1,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,1.0
"Now India will start striking back through Twitter haha. Bring Antony back to the position if you people are incapable, he was not an extremist by nature but surely a man of action not words like you people. 56 inch, 1 surgical strike like the end of pakistan haha only good for publicity.",Trac1,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,1.0
"Now India will start striking back through Twitter haha. Bring Antony back to the position if you people are incapable, he was not an extremist by nature but surely a man of action not words like you people. 56 inch, 1 surgical strike like the end of pakistan haha only good for publicity.",Trac1,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,1.0,,
Early bird gets the worm! &#128027;&#128036;,DavidsonHS,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
@thejournalist44 best O-Lineman is a rookie. It's him and a bunch of retards I wouldn't trust with a potato gun.,DavidsonOFF,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,
Useless,Trac1,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,1.0,,
Useless,Trac1,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,1.0
